idx,inf_mu1,sup_mu1,inf_mu2,sup_mu2
97,90.181929551741,116.263350337514,163.086452863215,194.883746423638
98,90.1544517850621,116.260710329952,163.054999967267,194.885079570476
99,90.1268303805052,116.25790450812,163.023400755071,194.8862495801
100,90.0990654133428,116.254932830118,162.991655310672,194.887256401842
101,90.0711569622558,116.251795250977,162.959763721995,194.888099981495
102,90.0431051029122,116.248491729082,162.927726073576,194.888780268576
103,90.0149099124469,116.245022221688,162.895542451658,194.88929721124
104,89.9865714680955,116.241386686291,162.8632129426,194.889650757862
105,89.9580898475116,116.237585080306,162.830737633289,194.889840856628
106,89.929465128402,116.233617361434,162.798116610665,194.889867456011
107,89.9006973887643,116.229483487428,162.765349962035,194.889730504457
108,89.8717867069617,116.22518341601,162.732437775161,194.889429950294
109,89.8427331613266,116.220717105275,162.699380137758,194.888965742239
110,89.8135368307653,116.21608451308,162.666177138264,194.888337828621
111,89.7841977941394,116.21128559767,162.632828865054,194.887546158176
112,89.7547161306504,116.206320317286,162.599335406923,194.886590679553
113,89.725091919847,116.20118863016,162.565696853109,194.885471341302
114,89.695325241242,116.195890494903,162.53191329279,194.884188092371
115,89.6654161749878,116.19042586982,162.497984815956,194.88274088123
116,89.6353648009863,116.18479471381,162.463911512268,194.881129657025
117,89.6051711999242,116.178996985322,162.429693472384,194.879354368236
118,89.5748354522323,116.173032643402,162.395330786626,194.877414964023
119,89.5443576387162,116.16690164706,162.360823545786,194.875311393411
120,89.5137378406365,116.160603955189,162.326171841234,194.873043605188
121,89.4829761393214,116.154139526952,162.291375764419,194.870611548402
122,89.4520726162784,116.147508321672,162.25643540701,194.868015172216
123,89.4210273532927,116.140710298735,162.221350861025,194.865254425785
124,89.3898404316636,116.133745418347,162.186122218001,194.862329259084
125,89.3585119353082,116.126613638439,162.150749572375,194.859239619526
126,89.3270419458258,116.119314919595,162.115233016058,194.855985457387
127,89.2954305460538,116.1118492215,162.07957264239,194.852566721853
128,89.2636778189278,116.104216504081,162.043768544832,194.848983362329
129,89.2317838476007,116.096416727383,162.007820817112,194.845235328287
130,89.1997487155175,116.088449851499,161.971729553331,194.841322569169
131,89.1675725064511,116.080315836532,161.935494848003,194.837245034338
132,89.1352553042296,116.072014642867,161.899116795706,194.833002673433
133,89.1027971929858,116.063546230922,161.862595491406,194.828595436046
134,89.0701982570364,116.054910561272,161.825931030294,194.824023271874
135,89.0374585811452,116.04610759438,161.789123508135,194.819286130386
136,89.0045782499696,116.037137291154,161.752173020549,194.81438396153
137,88.9715573485239,116.027999612483,161.715079663608,194.80931671514
138,88.9383959622976,116.018694519119,161.677843533992,194.80408434078
139,88.9050941766731,116.009221972259,161.640464728236,194.798686788496
140,88.8716520773916,115.999581933076,161.602943343333,194.793124008217
141,88.8380697504033,115.989774362877,161.565279476537,194.787395949943
142,88.8043472819905,115.979799222969,161.527473225528,194.78150256359
143,88.7704847585337,115.969656474903,161.489524688105,194.775443799292
144,88.7364822666546,115.959346080322,161.451433962372,194.769219607213
145,88.7023398932841,115.948868000901,161.413201146829,194.762829937461
146,88.6680577254698,115.938222198533,161.374826340121,194.756274740335
147,88.6336358506449,115.927408635064,161.336309641384,194.74955396598
148,88.5990743562379,115.916427272682,161.297651149745,194.742667564889
149,88.564373330066,115.905278073523,161.258850964828,194.735615487393
150,88.5295328601668,115.89396099984,161.219909186535,194.728397683882
151,88.4945530348439,115.882476013956,161.180825915111,194.721014104743
152,88.4594339423461,115.870823078588,161.141601250722,194.713464700777
153,88.4241756707657,115.859002156945,161.102235293472,194.705749423183
154,88.3887783105535,115.847013210216,161.062728146077,194.697868220886
155,88.3532419500025,115.834856202081,161.023079908897,194.689821045505
156,88.3175666784374,115.822531095529,160.983290683475,194.681607847811
157,88.281752585419,115.810037853649,160.943360571653,194.673228578612
158,88.2457997608709,115.797376439502,160.903289675744,194.664683188585
159,88.2097082946108,115.784546816592,160.863078097916,194.655971628885
160,88.1734782770262,115.771548948193,160.822725941073,194.64709385027
161,88.1371097983992,115.758382798016,160.782233307979,194.638049803974
162,88.1006029496244,115.745048329499,160.741600302189,194.628839440776
163,88.0639578214661,115.731545506547,160.700827027085,194.619462711963
164,88.0271745050242,115.717874293063,160.65991358648,194.60991956873
165,87.9902530916957,115.704034652993,160.618860084574,194.60020996222
166,87.9531936729277,115.690026550566,160.577666625623,194.590333843855
167,87.9159963406159,115.6758499499,160.536333314467,194.580291164811
168,87.8786611866375,115.661504815467,160.494860255918,194.570081876629
169,87.8411883032422,115.646991111703,160.453247555269,194.559705930701
170,87.8035777829292,115.632308803131,160.411495318133,194.549163278438
171,87.7658297181472,115.617457854659,160.369603650059,194.53845387165
172,87.727944201878,115.602438230998,160.327572657284,194.527577661797
173,87.689921327196,115.587249897104,160.285402446163,194.516534600552
174,87.6517611872924,115.571892818149,160.243093123201,194.505324639778
175,87.6134638756687,115.556366959333,160.200644795307,194.493947731267
176,87.5750294861126,115.540672285905,160.158057569759,194.48240382678
177,87.5364581124933,115.524808763366,160.115331553939,194.470692878308
178,87.4977498489628,115.508776357272,160.072466855596,194.458814837811
179,87.4589047898807,115.492575033306,160.029463582747,194.446769657313
180,87.4199230297418,115.47620475735,159.986321843587,194.434557289002
181,87.3808046632825,115.459665495381,159.943041746621,194.422177685086
182,87.3415497857093,115.442957213242,159.899623400967,194.409630797495
183,87.302158491961,115.426079877376,159.856066915394,194.396916578848
184,87.2626308774664,115.409033454073,159.812372399307,194.384034981457
185,87.2229670379542,115.391817909659,159.464188513734,194.675337406349
186,87.1831670691327,115.374433210813,159.419025398567,194.663313776024
187,87.1432310671749,115.356879324085,159.373721853403,194.651125353607
188,87.1031591274332,115.339156217182,159.328277992685,194.638772087716
189,87.0629513479401,115.321263855463,159.28269393419,194.626253923967
190,87.0226078244126,115.303202206939,159.236969792998,194.613570811009
191,86.9821286539298,115.284971238594,159.191105685989,194.600722696024
192,86.9415139334093,115.266570917905,159.145101729883,194.587709526691
193,86.9007637602121,115.248001212243,159.098958042083,194.574531250339
194,86.8598782316783,115.229262089333,159.052674740023,194.561187814598
195,86.818857445583,115.210353516801,159.006251941811,194.547679166764
