idx,inf_mu1,sup_mu1,inf_mu2,sup_mu2
427,70.6738846412739,109.402042276459,139.318043470178,192.286368963591
428,70.5986142308834,109.348868447129,139.229195290965,192.246768148566
429,70.5232403500132,109.295517661217,139.140234401188,192.206999613701
430,70.4477631832418,109.241989875368,139.051161121785,192.167063179274
431,70.372182914985,109.188285046698,138.961975774219,192.126958665337
432,70.2964997300063,109.13440313228,138.872678681414,192.086685890797
433,70.2207138130632,109.080344089503,138.78327016711,192.046244674046
434,70.144825348962,109.026107876012,138.693750555965,192.005634832868
435,70.0688345227972,108.971694449472,138.604120173996,191.964856183995
436,69.992741519602,108.917103767915,138.514379347936,191.923908543747
437,69.9165465246282,108.862335789462,138.424528405756,191.882791727516
438,69.8402497230673,108.8073904726,138.334567676147,191.841505550277
439,69.7638513003927,108.752267775841,138.244497489157,191.800049825957
440,69.6873514419239,108.696967658155,138.154318175385,191.758424368236
441,69.6107503334153,108.641490078386,138.064030067069,191.716628989463
442,69.5340481604299,108.585834995872,137.973633496936,191.674663501801
443,69.4572451087234,108.530002370067,137.883128798907,191.632527716526
444,69.3803413640958,108.473992160684,137.792516307828,191.590221444296
445,69.3033371124117,108.417804327677,137.701796359506,191.547744495111
446,69.2262325397,108.361438831141,137.610969290894,191.505096678129
447,69.1490278320228,108.304895631443,137.520035439854,191.462277801907
448,69.0717231756284,108.248174689068,137.42899514544,191.419287674114
449,68.9943187565365,108.191275965036,137.337848747124,191.376126102303
450,68.9168147611416,108.134199420294,137.246596585927,191.332792892787
451,68.8392113757482,108.076945016185,137.155239003547,191.289287851501
452,68.7615087869281,108.019512714088,137.063776343029,191.24561078334
453,68.6837071808825,107.961902476057,136.972208947583,191.201761493341
454,68.6058067444249,107.904114263838,136.880537162404,191.157739784853
455,68.5278076640027,107.846148039846,136.788761332861,191.113545461359
456,68.4497101264599,107.788003766404,136.696881805914,191.069178325055
457,68.3715143183186,107.729681406458,136.604898928773,191.024638178187
458,68.2932204264845,107.671180922875,136.512813050221,190.979924821733
459,68.2148286378001,107.612502278889,136.420624519777,190.935038056241
460,68.1363391390397,107.553645438103,136.328333687684,190.88997768183
461,68.0577521172951,107.494610364107,136.235940905639,190.844743497477
462,67.9790677594233,107.435397021028,136.143446525751,190.799335302042
463,67.9002862524492,107.376005373127,136.050850901301,190.753752893518
464,67.8214077834243,107.316435384939,135.958154386478,190.707996069294
465,67.7424325395946,107.25668702111,135.865357336691,190.662064625839
466,67.6633607079213,107.19676024687,135.772460107671,190.615958359602
467,67.5841924755967,107.13665502752,135.67946305644,190.569677066042
468,67.5049280299712,107.076371328505,135.017018126178,191.092568954762
469,67.4255675580877,107.015909115878,134.921085491918,191.048674003815
470,67.3461112473343,106.955268355649,134.825047880227,191.004609640019
471,67.2665592849745,106.894449014253,134.728905696423,190.960375611742
