i,x_inf,x_sup,theta_inf,theta_sup,lam2_sup,lam3_inf,isOK
52,0.93565,0.95048,0.030124,0.030593,16063.84276228343,16415.308592510024,OK
53,0.95048,0.96674,0.030124,0.030593,15656.782348848335,15974.689925723145,OK
54,0.96674,0.98313,0.030124,0.030593,15236.407391477122,15592.834326972385,OK
55,0.98313,1.001,0.030124,0.030593,14867.649055855796,15272.711145265306,OK
56,0.83988,0.85299,0.030593,0.031071,18957.071621113515,19284.560869273031,OK
57,0.85299,0.86629,0.030593,0.031071,18438.003218359423,18758.928273872301,OK
58,0.86629,0.87973,0.030593,0.031071,17917.8063346733,18253.229696834765,OK
59,0.87973,0.89333,0.030593,0.031071,17429.961800970748,17759.273801784708,OK
60,0.89333,0.90723,0.030593,0.031071,16947.496147032325,17288.616958430604,OK
61,0.90723,0.92137,0.030593,0.031071,16485.325470392374,16825.456917272018,OK
62,0.92137,0.93565,0.030593,0.031071,16045.69035977555,16394.55761195995,OK
63,0.93565,0.95048,0.030593,0.031071,15610.42557470853,15982.041715873607,OK
64,0.95048,0.96674,0.030593,0.031071,15218.447969030334,15546.385454949768,OK
65,0.96674,0.98313,0.030593,0.031071,14807.499482402472,15172.683919646714,OK
66,0.98313,1.001,0.030593,0.031071,14450.775811420888,14860.939964260106,OK
67,0.82696,0.83988,0.031071,0.031556,18966.405853306915,19299.539761410539,OK
68,0.83988,0.85299,0.031071,0.031556,18431.521277485575,18761.170590298138,OK
69,0.85299,0.86629,0.031071,0.031556,17913.186663429169,18248.719681438222,OK
70,0.86629,0.87973,0.031071,0.031556,17412.605563492096,17753.68804684504,OK
71,0.87973,0.89333,0.031071,0.031556,16936.11454136192,17280.950767608989,OK
72,0.89333,0.90723,0.031071,0.031556,16479.214327468897,16818.304477283335,OK
73,0.90723,0.92137,0.031071,0.031556,16028.130040637063,16371.454827215777,OK
74,0.92137,0.93565,0.031071,0.031556,15589.503770571919,15951.414249757972,OK
75,0.93565,0.95048,0.031071,0.031556,15122.987745313478,15643.298105921627,OK
76,0.95048,0.96674,0.031071,0.031556,14790.499912287652,15126.377678311144,OK
77,0.96674,0.98313,0.031071,0.031556,14394.59258246896,14768.83112777413,OK
78,0.98313,1.001,0.031071,0.031556,14049.147477673117,14466.003807418459,OK
79,0.81422,0.82696,0.031556,0.032049,18966.903678295133,19291.312642159068,OK
80,0.82696,0.83988,0.031556,0.032049,18431.092226224857,18760.797022854546,OK
81,0.83988,0.85299,0.031556,0.032049,17916.171320726327,18250.84004836213,OK
82,0.85299,0.86629,0.031556,0.032049,17415.561300734338,17749.873274793077,OK
83,0.86629,0.87973,0.031556,0.032049,16928.336859520397,17269.876555487797,OK
84,0.87973,0.89333,0.031556,0.032049,16462.738335010916,16810.533299511095,OK
85,0.89333,0.90723,0.031556,0.032049,16016.528227772395,16359.0442593925,OK
