a,b,lambda1,lambda2,lambda3,lambda4
0.500, 0.220, 330.98787266370397, 528.20506515184468, 710.23003211659, 920.69651143370743
0.500, 0.225, 319.09995783540592, 512.10760122117972, 690.4166636933162, 897.47941970635407
0.500, 0.230, 307.93385294745678, 496.93525406546655, 671.67724623639106, 875.49670438983173
0.500, 0.235, 297.43082538544309, 482.61533746363949, 653.92781191744018, 854.65427381735071
0.500, 0.240, 287.53811930696645, 469.08232083554327, 637.0925349959814, 834.86704963738293
0.500, 0.245, 278.20812785705959, 456.27697223481852, 621.10264291041642, 816.05788432351881
0.500, 0.250, 269.3978818328398, 444.14564873838077, 605.89572961651163, 798.15671057427176
0.500, 0.255, 261.06845655680337, 432.63966526924389, 591.41496386793312, 781.09973192097868
0.500, 0.260, 253.18456292450389, 421.71474535096547, 577.60854572075834, 764.82877478852174
0.500, 0.265, 245.71411947336566, 411.33054858606698, 564.42912219114271, 749.29066435609229
0.500, 0.270, 238.6279138208526, 401.45025117982647, 551.83334048536074, 734.43672538511737
0.500, 0.275, 231.89930108957086, 392.04017936899555, 539.78143584600593, 720.22231522872107
0.500, 0.280, 225.50393163779583, 383.06948731774793, 528.23686480639196, 706.60642027531105
0.500, 0.285, 219.41951972467189, 374.50987688333629, 517.16600250389797, 693.55131684903495
0.500, 0.290, 213.62563265220916, 366.33533848635625, 506.53784311774376, 681.0222292727002
0.500, 0.295, 208.10351052648821, 358.5219400592452, 496.32376508072764, 668.98706384831939
0.500, 0.300, 202.83589640031315, 351.04761539953694, 486.49730788680159, 657.41616995659774
0.550, 0.025, 17515.57838919777, 19876.3662993135, 21688.463962052461, 23434.079992089246
0.550, 0.030, 12331.036882986617, 14212.209845761625, 15672.827988405943, 17089.852800014003
0.550, 0.035, 9178.1677997292445, 10733.225198477396, 11953.506943128928, 13145.208420420111
0.550, 0.040, 7115.2807172213006, 8435.6874659110308, 9482.1272058608083, 10510.425941124124
0.550, 0.045, 5690.0705231075017, 6834.3769089241687, 7749.6999889812914, 8654.4660094647734
0.550, 0.050, 4663.0972645253623, 5670.8655421902949, 6484.0461114791233, 7292.3690346925368
0.550, 0.055, 3897.8492642975757, 4796.9709063686932, 5528.5025069512321, 6259.5792716601663
0.550, 0.060, 3311.8169324569785, 4122.6348569384254, 4787.5135306842922, 5455.4154614484332
0.550, 0.065, 2852.7108649006345, 3590.4834447162903, 4199.9923215718118, 4815.3240355292492
0.550, 0.070, 2486.0678473903204, 3162.5138215325746, 3725.3420387470696, 4296.2841239094678
0.550, 0.075, 2188.4176988642116, 2812.7156996870781, 3335.6891976754923, 3868.6773768193798
0.550, 0.080, 1943.3169620464339, 2522.7823858387178, 3011.3546655135574, 3511.5390736861241
