a,b,lambda1,lambda2,lambda3,lambda4
0.5,0.59,80.31085115384498,168.44374277663564,204.5329551218537,287.5300265314933
0.5,0.6,78.71022496343231,165.88070046694736,199.87285901273475,283.4158902048631
0.5,0.61,77.17839363470218,163.42054805802826,195.3992073213368,279.4807045596192
0.5,0.62,75.7112289297277,161.05738694381907,191.10275893138873,275.711518111604
0.5,0.63,74.30491468065289,158.7857494985955,186.97472653530318,272.09650868431214
0.5,0.64,72.95591860646957,156.60056118232418,183.00676742670476,268.6248373921961
0.5,0.65,71.66096707257164,154.49710651799458,179.1909711714745,265.2865190035274
0.5,0.66,70.41702244573804,152.47099849203667,175.51984497628555,262.0723056434109
0.5,0.67,69.22126274278408,150.51815098691196,171.98629744936858,258.97358104105314
0.5,0.68,68.0710633100872,148.63475390475426,168.58362132765205,255.9822627058541
0.5,0.69,66.96398030476817,146.81725068376775,165.30547563465586,253.0907095299785
0.5,0.7,65.8977357769949,145.0623179459663,162.1458676371347,250.2916323611196
0.5,0.71,64.87020417780653,143.3668470467391,159.09913488639404,247.5780050778047
0.5,0.72,63.879400138221186,141.72792732427038,156.1599275616199,244.94297365364758
0.5,0.73,62.92346738401622,140.14283087085232,153.3231912762525,242.37976066740725
0.5,0.74,62.00066866662079,138.60899866885455,150.58415046283142,239.88156280184384
0.5,0.75,61.10937660467232,137.12402795235332,147.93829241531319,237.44143926534863
0.5,0.76,60.24806534285041,135.68566067115785,145.3813520390185,235.0521901042444
0.5,0.77,59.41530294540041,134.29177294785907,142.9092973358409,232.70622562892666
0.5,0.78,58.6097444509527,132.94036543065627,140.5183156350941,230.39543257171022
0.5,0.79,57.83012552348109,131.62955445534843,138.20480056709104,228.11105043484005
0.5,0.8,57.075256641370544,130.35756393923634,135.96533976684287,225.84358426667148
0.5,0.81,56.34401777287191,129.12271793794363,133.79670328802442,223.58279862477136
0.5,0.82,55.63535349175959,127.9234338034306,131.69583270234887,221.31785962677887
0.5,0.83,54.94826849189002,126.75821588788752,129.6598308560855,219.0377086892659
0.5,0.84,54.281823463714765,125.62564974391198,127.6859522533361,216.73174262599065
0.5,0.85,53.63513129956278,124.52439677639995,125.77159403456845,214.39081142691933
0.5,0.86,53.00735359797724,123.45318930607183,123.91428751854377,212.00841081143884
0.5,0.87,52.397697440292426,122.11169027592992,122.41082600849703,209.58177783883536
0.5,0.88,51.80541241542214,120.36157870355642,121.39616769610387,207.11250452508068
0.5,0.89,51.22978787111168,118.66184106913731,120.40813341373013,204.60638573912414
0.5,0.9,50.67015037210936,117.01047099746229,119.44569682116796,202.0725070759563
0.550,0.026,16239.471000985661,18487.32877906648,20216.843957829486,21885.339231788195,23466.263783109625
0.55,0.03,12351.365051754181,14231.11814272757,15725.734124473685,17231.407380340082
0.55,0.04,7122.261880634688,8438.406934319248,9492.522549524167,10530.703934883879
