i,x_inf,x_sup,theta_inf,theta_sup,mesh_size_upper,fem_order_upper,mesh_size_lower_cr,isLG,mesh_size_lower_LG,fem_order_lower_LG
605,0.6649224366034584,0.67527154304055614,0.044313596545226784,0.044982554375758252,0.003017,1,0.003017,0,-,-
606,0.67527154304055614,0.68581604710657618,0.044313596545226784,0.044982554375758252,0.003052,1,0.003052,0,-,-
607,0.68581604710657618,0.69655939342631978,0.044313596545226784,0.044982554375758252,0.003089,1,0.003089,0,-,-
608,0.69655939342631978,0.70748387194448503,0.044313596545226784,0.044982554375758252,0.003128,1,0.003128,0,-,-
609,0.70748387194448503,0.7185936337944745,0.044313596545226784,0.044982554375758252,0.003170,1,0.003170,0,-,-
610,0.7185936337944745,0.72989540668259378,0.044313596545226784,0.044982554375758252,0.003214,1,0.003214,0,-,-
611,0.72989540668259378,0.74139660992124268,0.044313596545226784,0.044982554375758252,0.003261,1,0.003261,0,-,-
612,0.74139660992124268,0.7530855016945962,0.044313596545226784,0.044982554375758252,0.003310,1,0.003310,0,-,-
613,0.7530855016945962,0.76494894358865617,0.044313596545226784,0.044982554375758252,0.003363,1,0.003363,0,-,-
614,0.76494894358865617,0.77698911613055688,0.044313596545226784,0.044982554375758252,0.003420,1,0.003420,0,-,-
615,0.77698911613055688,0.78921643549798171,0.044313596545226784,0.044982554375758252,0.003460,1,0.003460,0,-,-
616,0.78921643549798171,0.80162973958143635,0.044313596545226784,0.044982554375758252,0.003502,1,0.003502,0,-,-
617,0.80162973958143635,0.81421700199341818,0.044313596545226784,0.044982554375758252,0.003546,1,0.003546,0,-,-
618,0.81421700199341818,0.82696259571709552,0.044313596545226784,0.044982554375758252,0.003593,1,0.003593,0,-,-
619,0.82696259571709552,0.83987847249773062,0.044313596545226784,0.044982554375758252,0.003641,1,0.003641,0,-,-
620,0.83987847249773062,0.85298676164541531,0.044313596545226784,0.044982554375758252,0.003693,1,0.003693,0,-,-
621,0.85298676164541531,0.86628658652326695,0.044313596545226784,0.044982554375758252,0.003747,1,0.003747,0,-,-
622,0.86628658652326695,0.87973061924224361,0.044313596545226784,0.044982554375758252,0.003804,1,0.003804,0,-,-
623,0.87973061924224361,0.89332671584406187,0.044313596545226784,0.044982554375758252,0.003858,1,0.003858,0,-,-
624,0.89332671584406187,0.90722908779059752,0.044313596545226784,0.044982554375758252,0.003901,1,0.003901,0,-,-
625,0.90722908779059752,0.92137462356982991,0.044313596545226784,0.044982554375758252,0.003946,1,0.003946,0,-,-
626,0.92137462356982991,0.93565413736122083,0.044313596545226784,0.044982554375758252,0.003993,1,0.003993,0,-,-
