i,x_inf,x_sup,theta_inf,theta_sup,mesh_size_upper,fem_order_upper,mesh_size_lower_cr,isLG,mesh_size_lower_LG,fem_order_lower_LG
1997,0.63499640957144599,0.64479067211860874,0.086646706716120597,0.089846501141164728,0.005253,1,0.005253,0,-,-
1998,0.64479067211860874,0.65476523030598244,0.086646706716120597,0.089846501141164728,0.005322,1,0.005322,0,-,-
1999,0.65476523030598244,0.6649224366034584,0.086646706716120597,0.089846501141164728,0.005397,1,0.005397,0,-,-
2000,0.6649224366034584,0.67527154304055614,0.086646706716120597,0.089846501141164728,0.005460,1,0.005460,0,-,-
2001,0.67527154304055614,0.68581604710657618,0.086646706716120597,0.089846501141164728,0.005526,1,0.005526,0,-,-
2002,0.68581604710657618,0.69655939342631978,0.086646706716120597,0.089846501141164728,0.005595,1,0.005595,0,-,-
2003,0.69655939342631978,0.70748387194448503,0.086646706716120597,0.089846501141164728,0.005669,1,0.005669,0,-,-
2004,0.70748387194448503,0.7185936337944745,0.086646706716120597,0.089846501141164728,0.005747,1,0.005747,0,-,-
2005,0.7185936337944745,0.72989540668259378,0.086646706716120597,0.089846501141164728,0.005818,1,0.005818,0,-,-
2006,0.72989540668259378,0.74139660992124268,0.086646706716120597,0.089846501141164728,0.005888,1,0.005888,0,-,-
2007,0.74139660992124268,0.7530855016945962,0.086646706716120597,0.089846501141164728,0.005962,1,0.005962,0,-,-
2008,0.7530855016945962,0.76494894358865617,0.086646706716120597,0.089846501141164728,0.006041,1,0.006041,0,-,-
2009,0.76494894358865617,0.77698911613055688,0.086646706716120597,0.089846501141164728,0.006123,1,0.006123,0,-,-
2010,0.77698911613055688,0.78921643549798171,0.086646706716120597,0.089846501141164728,0.006195,1,0.006195,0,-,-
2011,0.78921643549798171,0.80162973958143635,0.086646706716120597,0.089846501141164728,0.006271,1,0.006271,0,-,-
2012,0.80162973958143635,0.81421700199341818,0.086646706716120597,0.089846501141164728,0.006350,1,0.006350,0,-,-
2013,0.81421700199341818,0.82696259571709552,0.086646706716120597,0.089846501141164728,0.006433,1,0.006433,0,-,-
2014,0.82696259571709552,0.83987847249773062,0.086646706716120597,0.089846501141164728,0.006512,1,0.006512,0,-,-
2015,0.83987847249773062,0.85298676164541531,0.086646706716120597,0.089846501141164728,0.006588,1,0.006588,0,-,-
2016,0.85298676164541531,0.86628658652326695,0.086646706716120597,0.089846501141164728,0.006666,1,0.006666,0,-,-
2017,0.86628658652326695,0.87973061924224361,0.086646706716120597,0.089846501141164728,0.006749,1,0.006749,0,-,-
2018,0.87973061924224361,0.89332671584406187,0.086646706716120597,0.089846501141164728,0.006829,1,0.006829,0,-,-
2019,0.89332671584406187,0.90722908779059752,0.086646706716120597,0.089846501141164728,0.006903,1,0.006903,0,-,-
2020,0.90722908779059752,0.92137462356982991,0.086646706716120597,0.089846501141164728,0.006977,1,0.006977,0,-,-
2021,0.92137462356982991,0.93565413736122083,0.086646706716120597,0.089846501141164728,0.007056,1,0.007056,0,-,-
2022,0.93565413736122083,0.95047821377382835,0.086646706716120597,0.089846501141164728,0.007133,1,0.007133,0,-,-
2023,0.95047821377382835,0.96673961915725626,0.086646706716120597,0.089846501141164728,0.007198,1,0.007198,0,-,-
2024,0.96673961915725626,0.98313052339649154,0.086646706716120597,0.089846501141164728,0.007269,1,0.007269,0,-,-
2025,0.98313052339649154,1.0009999999999999,0.086646706716120597,0.089846501141164728,0.007347,1,0.007347,0,-,-
2026,0.5,0.50742599432285007,0.089846501141164728,0.093438954853559131,0.004444,1,0.004444,0,-,-
2027,0.50742599432285007,0.5149696194782355,0.089846501141164728,0.093438954853559131,0.003533,1,0.003533,0,-,-
2028,0.5149696194782355,0.52263295912545971,0.089846501141164728,0.093438954853559131,0.001124,1,0.001124,0,-,-
