i,j,x_inf,x_sup,th_inf,th_sup,y_inf,y_sup,sup_lam2,inf_lam3
19,1,0.69806274252160827,0.70906622821725351,0.34775712073332488,0.35773221915189179,0.26036730793227258,0.26036730793227342,436.17915929421088,570.47842942448085
20,1,0.70906622821725318,0.72006971391289842,0.34775712073332488,0.35773221915189179,0.26444838122439157,0.26444838122439235,427.28462315497006,561.50743504087029
21,1,0.7200697139128982,0.73107319960854344,0.34775712073332488,0.35773221915189179,0.2685294545165105,0.26852945451651133,418.77061390475859,552.40243505004059
22,1,0.731073199608543,0.74207668530418835,0.34775712073332488,0.35773221915189179,0.27261052780862949,0.27261052780863032,410.62169306171177,543.6636432472684
23,1,0.74207668530418802,0.75308017099983326,0.34775712073332488,0.35773221915189179,0.27669160110074842,0.27669160110074931,402.81976358488333,535.40618976526173
24,1,0.75308017099983282,0.76408365669547818,0.34775712073332488,0.35773221915189179,0.28077267439286735,0.28077267439286824,395.34354905353774,527.36705702976462
25,1,0.76408365669547773,0.77508714239112309,0.34775712073332488,0.35773221915189179,0.28485374768498628,0.28485374768498722,388.18528855657553,519.3968759981542
26,1,0.77508714239112264,0.786090628086768,0.34775712073332488,0.35773221915189179,0.28893482097710527,0.28893482097710621,381.32856112410985,512.07476923380102
27,1,0.78609062808676755,0.79709411378241302,0.34775712073332488,0.35773221915189179,0.2930158942692242,0.2930158942692252,374.75792390280293,505.34223533698236
28,1,0.79709411378241257,0.80809759947805782,0.34775712073332488,0.35773221915189179,0.29709696756134318,0.29709696756134413,368.46199796911856,498.85986139692716
29,1,0.80809759947805737,0.81910108517370273,0.34775712073332488,0.35773221915189179,0.30117804085346211,0.30117804085346311,362.42849958585396,491.91248952098118
30,1,0.81910108517370228,0.83010457086934764,0.34775712073332488,0.35773221915189179,0.3052591141455811,0.3052591141455821,356.64566584660844,485.10211342068982
31,1,0.8301045708693473,0.84110805656499266,0.34775712073332488,0.35773221915189179,0.30934018743770009,0.30934018743770103,351.10342311015847,478.59488531959596
32,1,0.8411080565649921,0.85211154226063757,0.34775712073332488,0.35773221915189179,0.31342126072981902,0.31342126072982002,345.79004020824641,472.52591682743287
33,1,0.85211154226063701,0.86311502795628248,0.34775712073332488,0.35773221915189179,0.31750233402193795,0.317502334021939,340.69368077622977,466.08290180911712
34,1,0.86311502795628192,0.87411851365192739,0.34775712073332488,0.35773221915189179,0.32158340731405688,0.32158340731405799,335.80833407394459,460.67627635769946
35,1,0.87411851365192683,0.8851219993475723,0.34775712073332488,0.35773221915189179,0.32566448060617587,0.32566448060617692,331.12302789872859,455.00433285774011
36,1,0.88512199934757174,0.89612548504321721,0.34775712073332488,0.35773221915189179,0.3297455538982948,0.32974555389829591,326.62872124915077,449.44552783568793
37,1,0.89612548504321665,0.90712897073886223,0.34775712073332488,0.35773221915189179,0.33382662719041378,0.33382662719041489,322.31740703170044,443.98751618620196
38,1,0.90712897073886167,0.91813245643450703,0.34775712073332488,0.35773221915189179,0.33790770048253271,0.33790770048253382,318.1793038112998,438.48997592061545
39,1,0.91813245643450647,0.92913594213015194,0.34775712073332488,0.35773221915189179,0.34198877377465164,0.34198877377465275,314.20778432739758,433.3263458449934
40,1,0.92913594213015138,0.94013942782579685,0.34775712073332488,0.35773221915189179,0.34606984706677063,0.34606984706677174,310.39423138604286,428.48966990872361
i,j,x_inf,x_sup,th_inf,th_sup,y_inf,y_sup,sup_lam2,inf_lam3
1,10,0.5,0.51014499247154921,0.43753300650042209,0.44750810491898912,0.23999269747107813,0.23999269747107863,485.74747238353854,613.34345562743601
2,10,0.5101449924715491,0.52028998494309842,0.43753300650042209,0.44750810491898912,0.24481088919082283,0.24481088919082342,472.7190817650731,599.49303820917407
3,10,0.5202899849430983,0.53043497741464762,0.43753300650042209,0.44750810491898912,0.24962908091056754,0.24962908091056812,460.34873477340915,585.75999262128653
4,10,0.5304349774146474,0.54057996988619672,0.43753300650042209,0.44750810491898912,0.25444727263031225,0.25444727263031286,448.58354853681897,573.23814923229884
5,10,0.54057996988619661,0.55072496235774593,0.43753300650042209,0.44750810491898912,0.25926546435005693,0.2592654643500576,437.39726629440946,560.69170768489812
6,10,0.55072496235774571,0.56086995482929514,0.43753300650042209,0.44750810491898912,0.26408365606980166,0.26408365606980233,426.74418746907941,548.73376894576143
7,10,0.56086995482929491,0.57101494730084423,0.43753300650042209,0.44750810491898912,0.26890184778954634,0.26890184778954707,416.58970426949793,538.0466411199908
8,10,0.57101494730084401,0.58115993977239344,0.43753300650042209,0.44750810491898912,0.27372003950929108,0.2737200395092918,406.90275627315532,527.51062615877515
9,10,0.58115993977239322,0.59130493224394265,0.43753300650042209,0.44750810491898912,0.27853823122903576,0.27853823122903648,397.65183627702214,517.86871202283783
10,10,0.59130493224394243,0.60144992471549175,0.43753300650042209,0.44750810491898912,0.2833564229487805,0.28335642294878127,388.81455505786886,508.30287712021266
11,10,0.60144992471549152,0.61159491718704095,0.43753300650042209,0.44750810491898912,0.28817461466852523,0.28817461466852601,380.36232545212908,498.5947790889233
12,10,0.61159491718704073,0.62173990965859016,0.43753300650042209,0.44750810491898912,0.29299280638826997,0.29299280638827069,372.27680766273397,489.97701718139564
13,10,0.62173990965858983,0.63188490213013937,0.43753300650042209,0.44750810491898912,0.29781099810801465,0.29781099810801542,364.53135398919306,482.00899994555647
14,10,0.63188490213013904,0.64202989460168847,0.43753300650042209,0.44750810491898912,0.30262918982775938,0.30262918982776021,357.11331096220056,474.16652005245692
15,10,0.64202989460168813,0.65217488707323767,0.43753300650042209,0.44750810491898912,0.30744738154750406,0.30744738154750489,350.00332024950336,466.46363717561712
16,10,0.65217488707323734,0.66231987954478688,0.43753300650042209,0.44750810491898912,0.3122655732672488,0.31226557326724963,343.1838097889563,459.42316460800947
17,10,0.66231987954478655,0.67246487201633609,0.43753300650042209,0.44750810491898912,0.31708376498699348,0.31708376498699437,336.64115856807871,452.72139151000397
18,10,0.67246487201633565,0.68260986448788519,0.43753300650042209,0.44750810491898912,0.32190195670673821,0.32190195670673905,330.35771770247942,445.90815426796388
19,10,0.68260986448788485,0.6927548569594344,0.43753300650042209,0.44750810491898912,0.32672014842648289,0.32672014842648384,324.32442983246443,439.80577602024476
20,10,0.69275485695943395,0.70289984943098349,0.43753300650042209,0.44750810491898912,0.33153834014622763,0.33153834014622857,318.52860440362906,433.96963497047705
21,10,0.70289984943098316,0.7130448419025327,0.43753300650042209,0.44750810491898912,0.33635653186597236,0.33635653186597331,312.95815056269072,427.76435152930713
22,10,0.71304484190253226,0.72318983437408191,0.43753300650042209,0.44750810491898912,0.34117472358571704,0.34117472358571799,307.60237440414443,422.66492004523991
23,10,0.72318983437408146,0.73333482684563112,0.43753300650042209,0.44750810491898912,0.34599291530546178,0.34599291530546278,302.45134252067385,417.05628095570904
24,10,0.73333482684563067,0.74347981931718021,0.43753300650042209,0.44750810491898912,0.35081110702520651,0.35081110702520751,297.49556552866494,411.9431549824356
